timeStamp,sessionId,participantId,action,actor,x,y,z,target
2018-04-04 11:03:17.528 +03:00,38627,A,moved,A,-3.5,0.5,1.1,
2018-04-04 11:03:17.530 +03:00,38627,A,moved,A,-3.5,0.5,1.1,
2018-04-04 11:03:17.537 +03:00,38627,A,moved,A,-3.5,0.5,1.1,
2018-04-04 11:03:17.574 +03:00,55111,B BOT,Activated,B,5.2,1.1,0.4,
2018-04-04 11:03:17.575 +03:00,55111,B BOT,Activated,B,5.2,1.1,0.4,
2018-04-04 11:03:17.647 +03:00,53049,B,moved,B,-0.1,-0.4,-1.9,
2018-04-04 11:03:17.697 +03:00,38627,D BOT,exitTP,D,-1.4,1.1,-2.2,
2018-04-04 11:03:17.724 +03:00,59297,C BOT,Kick,C,-1.4,1.1,-1.4,D
2018-04-04 11:03:17.731 +03:00,55111,C,moved,C,-0.7,-0.4,0.4,
2018-04-04 11:03:17.965 +03:00,32801,B,moved,B,-0.9,-0.4,2.2,
2018-04-04 11:03:18.083 +03:00,59297,D,exitTP,D,-7.6,1.1,2.5,
2018-04-04 11:03:18.108 +03:00,38627,C BOT,Kick,C,-0.8,1.1,0.6,D
2018-04-04 11:03:18.170 +03:00,38627,A,moved,A,-4.3,0.5,0.1,
2018-04-04 11:03:18.265 +03:00,55111,C,moved,C,-0.5,-0.4,-2,
2018-04-04 11:03:18.299 +03:00,53049,C BOT,Kick,C,-0.2,1.1,2.2,B
2018-04-04 11:03:18.455 +03:00,53049,B,EnterTP,B,2.7,1.1,0.5,
2018-04-04 11:03:18.864 +03:00,38627,A,moved,A,-4.3,0.5,0.3,
2018-04-04 11:03:18.877 +03:00,55111,C,moved,C,-0.3,-0.4,-2.5,
2018-04-04 11:03:18.967 +03:00,53049,B,moved,B,-1.4,-0.4,-2.3,
2018-04-04 11:03:19.027 +03:00,38627,A,EnterTP,A,-7.1,1.1,0.9,
2018-04-04 11:03:19.293 +03:00,32801,B,moved,B,-4.2,0.5,-0.3,
2018-04-04 11:03:19.471 +03:00,55111,C,moved,C,0.2,-0.4,-3,
2018-04-04 11:03:19.497 +03:00,59297,B BOT,exitTP,B,2.2,1.1,0.3,
2018-04-04 11:03:19.831 +03:00,34547,A,moved,A,3.4,-0.4,3.4,
2018-04-04 11:03:19.924 +03:00,34547,D BOT,exitTP,D,-1.2,1.1,0.4,
2018-04-04 11:03:19.956 +03:00,32801,B,moved,B,-4.5,0.5,-0.3,
2018-04-04 11:03:20.016 +03:00,34547,C BOT,EnterTP,C,2.2,1.1,-0.2,
2018-04-04 11:03:20.016 +03:00,55111,C,moved,C,1,-0.4,-3.1,
2018-04-04 11:03:20.060 +03:00,34547,C BOT,EnterTP,C,2.2,1.1,-0.2,
2018-04-04 11:03:20.078 +03:00,34547,C BOT,exitTP,C,2.2,1.1,-0.2,
2018-04-04 11:03:20.091 +03:00,34547,C BOT,exitTP,C,2.2,1.1,-0.2,
2018-04-04 11:03:20.092 +03:00,34547,C BOT,EnterTP,C,2.2,1.1,-0.2,
2018-04-04 11:03:20.126 +03:00,34547,C BOT,exitTP,C,2.2,1.1,-0.2,
2018-04-04 11:03:20.151 +03:00,34547,C BOT,EnterTP,C,2.2,1.1,-0.1,
2018-04-04 11:03:20.162 +03:00,55111,C,exitTP,C,-1.2,1.1,-1.3,
2018-04-04 11:03:20.320 +03:00,34547,C BOT,exitTP,C,2.2,1.1,-0.1,
2018-04-04 11:03:20.328 +03:00,34547,C BOT,EnterTP,C,2.2,1.1,-0.1,
2018-04-04 11:03:20.333 +03:00,34547,C BOT,exitTP,C,2.2,1.1,-0.1,
2018-04-04 11:03:20.340 +03:00,34547,C BOT,EnterTP,C,2.3,1.1,-0.1,
2018-04-04 11:03:20.344 +03:00,34547,C BOT,exitTP,C,2.2,1.1,-0.1,
2018-04-04 11:03:20.398 +03:00,34547,C BOT,EnterTP,C,2.3,1.1,-0.1,
2018-04-04 11:03:20.486 +03:00,55111,C,moved,C,1.5,-0.4,-3.7,
2018-04-04 11:03:20.506 +03:00,32801,D BOT,ASK,D,-3.4,1.1,0.4,B
2018-04-04 11:03:20.819 +03:00,34547,C BOT,Activated,C,2.5,1.1,0,
2018-04-04 11:03:20.824 +03:00,34547,C BOT,Activated,C,2.5,1.1,0,
2018-04-04 11:03:20.848 +03:00,55111,C,moved,C,2.4,-0.4,-4,
2018-04-04 11:03:21.366 +03:00,55111,C,moved,C,1.6,-0.4,-5.1,
2018-04-04 11:03:21.701 +03:00,53049,D BOT,exitTP,D,2.3,1.1,1.8,
2018-04-04 11:03:21.704 +03:00,53049,D BOT,EnterTP,D,2.3,1.1,1.8,
2018-04-04 11:03:21.792 +03:00,53049,D BOT,exitTP,D,2.2,1.1,1.8,
2018-04-04 11:03:21.904 +03:00,38627,A,Activated,A,-4.3,1.1,0.3,
2018-04-04 11:03:21.923 +03:00,38627,A,Activated,A,-4.3,1.1,0.3,
2018-04-04 11:03:22.062 +03:00,59297,B BOT,exitTP,B,-1.2,1.1,0.6,
2018-04-04 11:03:22.065 +03:00,59297,B BOT,EnterTP,B,-1.2,1.1,0.6,
2018-04-04 11:03:22.128 +03:00,59297,B BOT,EnterTP,B,-1.3,1.1,0.6,
2018-04-04 11:03:22.209 +03:00,55111,C,moved,C,3.6,-0.4,-4.9,
2018-04-04 11:03:22.281 +03:00,34547,C BOT,exitTP,C,2.2,1.1,-0.1,
2018-04-04 11:03:22.358 +03:00,59297,B BOT,Kick,B,-1.7,1.1,0.6,C
2018-04-04 11:03:22.608 +03:00,55111,C,moved,C,4.2,-0.4,-4.6,
2018-04-04 11:03:22.680 +03:00,32801,C BOT,exitTP,C,2.2,1.1,0.4,
2018-04-04 11:03:22.716 +03:00,34547,A,moved,A,5.6,0.5,1.1,
2018-04-04 11:03:22.787 +03:00,59297,C BOT,exitTP,C,-7.1,1.1,-2.6,
2018-04-04 11:03:22.913 +03:00,34547,D BOT,EnterTP,D,-1.3,1.1,0.4,
2018-04-04 11:03:22.994 +03:00,34547,A,moved,A,5.1,0.5,0.2,
2018-04-04 11:03:23.102 +03:00,55111,C,moved,C,4.8,-0.4,-4.3,
2018-04-04 11:03:23.132 +03:00,34547,A,moved,A,5,0.5,0.1,
2018-04-04 11:03:23.323 +03:00,32801,B,moved,B,-2.4,0.5,0.7,
2018-04-04 11:03:23.465 +03:00,53049,B,exitTP,B,2.6,1.1,-2.5,
2018-04-04 11:03:23.500 +03:00,34547,A,moved,A,5.6,0.5,0.2,
2018-04-04 11:03:23.597 +03:00,38627,A,Activated,A,-4.3,1.1,0.3,
2018-04-04 11:03:23.598 +03:00,38627,A,Deactivated,A,-4.3,1.1,0.3,
2018-04-04 11:03:23.617 +03:00,53049,C BOT,EnterTP,C,-1.3,1.1,2.6,
2018-04-04 11:03:24.174 +03:00,53049,C BOT,Activated,C,-2.1,1.1,2.1,
2018-04-04 11:03:24.176 +03:00,53049,C BOT,Activated,C,-2.2,1.1,2.1,
2018-04-04 11:03:24.207 +03:00,55111,C,moved,C,2.2,-0.4,-5.2,
2018-04-04 11:03:24.305 +03:00,59297,D,moved,D,-5.4,0.5,0.2,
2018-04-04 11:03:24.578 +03:00,55111,C,moved,C,6,-0.4,-2.7,
2018-04-04 11:03:24.606 +03:00,55111,C,moved,C,4.2,-0.4,-4.9,
2018-04-04 11:03:24.639 +03:00,34547,C BOT,EnterTP,C,-1.3,1.1,0.1,
2018-04-04 11:03:24.687 +03:00,38627,C BOT,EnterTP,C,2.3,1.1,0.5,
2018-04-04 11:03:24.818 +03:00,53049,B,moved,B,-3,0.5,0,
2018-04-04 11:03:24.916 +03:00,55111,C,moved,C,6.1,-0.4,-1.9,
2018-04-04 11:03:24.916 +03:00,55111,B BOT,Kick,B,2.3,1.1,-1.1,C
2018-04-04 11:03:25.121 +03:00,59297,D,moved,D,5.5,0.5,0.8,
2018-04-04 11:03:25.130 +03:00,59297,D,EnterTP,D,-7,1.1,2.8,
2018-04-04 11:03:25.154 +03:00,38627,A,Activated,A,-4.3,1.1,0.3,
2018-04-04 11:03:25.193 +03:00,55111,C,moved,C,6,0.5,-1.1,
2018-04-04 11:03:25.759 +03:00,38627,C BOT,TakeOff,C,3.9,1.1,0.4,
2018-04-04 11:03:25.761 +03:00,38627,C BOT,exitTP,C,-15.3,0.6,-5,
2018-04-04 11:03:26.124 +03:00,34547,A,Activated,A,5.6,1.1,0.2,
2018-04-04 11:03:26.125 +03:00,34547,A,Activated,A,5.6,1.1,0.2,
2018-04-04 11:03:26.269 +03:00,53049,B,EnterTP,B,-1.3,1.1,-1.2,
2018-04-04 11:03:26.270 +03:00,32801,B,Kick,B,-2.4,1.1,0.7,C
2018-04-04 11:03:26.343 +03:00,53049,C BOT,exitTP,C,-1.2,1.1,1.2,
2018-04-04 11:03:26.363 +03:00,55111,C,moved,C,-2.2,-0.4,0.3,
2018-04-04 11:03:26.543 +03:00,32801,C BOT,Activated,C,3,1.1,-0.8,
2018-04-04 11:03:26.547 +03:00,32801,C BOT,Activated,C,3.9,1.1,-1,
2018-04-04 11:03:26.551 +03:00,32801,C BOT,EnterTP,C,3,1.1,-0.8,
2018-04-04 11:03:26.659 +03:00,55111,C,moved,C,-2.2,-0.4,0.3,
2018-04-04 11:03:26.659 +03:00,38627,D BOT,EnterTP,D,3.1,1.1,-2.5,
2018-04-04 11:03:26.702 +03:00,34547,D BOT,TakeOff,D,-4.6,1.1,0.4,
2018-04-04 11:03:26.722 +03:00,34547,D BOT,exitTP,D,-14.3,0.6,-5,
2018-04-04 11:03:26.729 +03:00,34547,C BOT,exitTP,C,-16.3,0.6,-5,
