timeStamp,sessionId,actor,action,x,y,z,target
4/25/2018 14:13:01:99,59740,C BOT_moral,Thank,-4.6, 1.1, 4.4,A BOT
4/25/2018 14:13:02:907,59740,B,Activated,-4.0, 1.1, 0.4,
4/25/2018 14:13:07:709,59740,A BOT,EnterTP,5.3, 1.1, -2.6,
4/25/2018 14:13:07:711,59740,A BOT,TakeOff,5.3, 1.1, -2.4,
4/25/2018 14:13:07:830,59740,A BOT,exitTP,-15.3, 0.6, -5.0,
4/25/2018 14:13:11:92,59740,A BOT,Saved,-14.4, 1.7, -6.1,C BOT_moral
4/25/2018 14:13:18:274,59740,C BOT_moral,Spawned,-8.8, 1.7, -10.5,
4/25/2018 14:13:18:274,59740,A BOT,Spawned,-14.4, 1.7, -6.1,
4/25/2018 14:13:18:275,59740,B,Spawned,-4.0, 1.1, 0.4,
4/25/2018 14:13:18:275,59740,,EndRound9,,
4/25/2018 14:13:18:389,59740,B,exitTP,6.1, 0.5, 5.0,
4/25/2018 14:13:21:290,59740,,BeginRound10,,
4/25/2018 14:13:24:65,59740,B,Move,6.1, 1.1, 5.0,
4/25/2018 14:13:25:877,59740,B,EnterTP,5.8, 1.1, 3.3,
4/25/2018 14:13:25:999,59740,C BOT_moral,EnterTP,5.3, 1.1, -2.5,
4/25/2018 14:13:26:121,59740,C BOT_moral,Activated,5.3, 1.1, -2.3,
4/25/2018 14:13:27:462,59740,B,Kick,5.4, 1.1, 1.6,C BOT_moral
4/25/2018 14:13:27:706,59740,C BOT_moral,exitTP,4.8, 1.1, -2.8,
4/25/2018 14:13:29:893,59740,C BOT_moral,Ask,0.0, 1.1, -7.5,A BOT
4/25/2018 14:13:32:116,59740,A BOT,Ask,-5.3, 1.1, -3.8,B
4/25/2018 14:13:37:775,59740,A BOT,Thank,-5.3, 1.1, -3.8,C BOT_moral
4/25/2018 14:13:39:873,59740,C BOT_moral,Kick,-2.6, 1.1, -2.7,A BOT
4/25/2018 14:13:40:121,59740,C BOT_moral,EnterTP,-2.6, 1.1, -2.6,
4/25/2018 14:13:45:534,59740,C BOT_moral,Activated,-2.9, 1.1, -2.0,
4/25/2018 14:13:45:655,59740,A BOT,EnterTP,-6.5, 1.1, -2.5,
4/25/2018 14:13:50:447,59740,B,TakeOff,5.2, 1.1, 0.5,
4/25/2018 14:13:50:569,59740,B,exitTP,-15.3, 0.6, -5.0,
4/25/2018 14:13:51:761,59740,A BOT,exitTP,-1.1, 1.1, -1.5,
